distance,duration,n_ha,n_ha_l,n_ha_m,n_ha_h,n_hb,n_hb_l,n_hb_m,n_hb_h,n_hc,n_hc_l,n_hc_m,n_hc_h,fcw_time,hmw_time,ldw_time,pcw_time,n_pedestrian_dz,n_tsr_level,n_tsr_level_0,n_tsr_level_1,n_tsr_level_2,n_tsr_level_3,n_tsr_level_4,n_tsr_level_5,n_tsr_level_6,n_tsr_level_7,n_brakes,speed,n_fcw,n_hmw,n_ldw,n_ldw_left,n_ldw_right,n_pcw,n_fatigue_0,n_fatigue_1,n_fatigue_2,n_fatigue_3,n_headway__1,n_headway_0,n_headway_1,n_headway_2,n_headway_3,n_overtaking_0,n_overtaking_1,n_overtaking_2,n_overtaking_3,n_speeding_0,n_speeding_1,n_speeding_2,n_speeding_3,target
28.6924,1933,22.0,8.0,13.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,3.057463,0.793691,0.0,0.0,82.0,20.0,28.0,20.0,10.0,7.0,7.0,5.0,5.0,36.0,48.86160871092378,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35.0,34.0,35.0,15.0,3.0,6.0,5.0,0.0,0.0,9.0,26.0,28.0,12.0,0
29.9068,2032,21.0,6.0,12.0,3.0,8.0,0.0,8.0,0.0,9.0,5.0,4.0,0.0,0.290423,4.966567,0.0,0.0,2.0,60.0,18.0,21.0,12.0,5.0,5.0,5.0,5.0,7.0,53.0,43.969001148105626,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,38.0,31.0,7.0,2.0,11.0,10.0,0.0,0.0,8.0,22.0,19.0,6.0,0
28.9324,2033,15.0,5.0,8.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.784907,16.370879,0.0,0.0,1.0,92.0,27.0,31.0,16.0,11.0,17.0,12.0,1.0,4.0,40.0,47.06814251124179,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,35.0,41.0,27.0,2.0,5.0,4.0,0.0,0.0,8.0,10.0,8.0,4.0,0
30.3672,2269,24.0,8.0,12.0,4.0,8.0,0.0,8.0,0.0,11.0,6.0,5.0,0.0,0.184554,2.579082,0.0,0.0,5.0,62.0,22.0,17.0,8.0,6.0,9.0,7.0,5.0,10.0,71.0,41.87667698658411,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,52.0,51.0,20.0,2.0,9.0,8.0,0.0,0.0,8.0,12.0,8.0,6.0,0
5.64349,561,6.0,2.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,14.0,35.012922465208746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,4.0,4.0,3.0,0
6.19137,537,6.0,2.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,5.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,17.0,38.73671532052446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2.08586,260,8.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.81115107913669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
64.2062,3881,12.0,4.0,7.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,8.478544,0.379304,0.0,8.0,135.0,36.0,46.0,29.0,14.0,16.0,13.0,7.0,10.0,90.0,46.04222031718817,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,62.0,74.0,46.0,4.0,7.0,6.0,0.0,0.0,13.0,23.0,18.0,9.0,0
85.2768,2987,2.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,87.32007,0.201961,0.0,3.0,36.0,5.0,7.0,12.0,11.0,4.0,1.0,0.0,1.0,33.0,86.073738170347,0.0,26.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,109.0,39.0,95.0,58.0,26.0,1.0,0.0,0.0,0.0,3.0,7.0,12.0,9.0,0
3.67741,634,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,33.0,21.20993031358885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0,9.0,4.0,0
1.67936,274,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.712355212355213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,11.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1
4.15944,552,3.0,1.0,2.0,0.0,5.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,5.0,5.0,4.0,4.0,1.0,0.0,0.0,0.0,26.0,26.49358341559724,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,4.0,1.0,0
84.3478,3115,11.0,4.0,6.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,37.609245,0.109912,0.0,0.0,80.0,9.0,9.0,7.0,14.0,12.0,7.0,17.0,14.0,31.0,83.9264325323475,0.0,15.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,90.0,60.0,80.0,36.0,15.0,1.0,0.0,0.0,0.0,5.0,12.0,12.0,5.0,0
63.4295,3546,13.0,6.0,6.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.396473,47.041345,0.0,0.0,4.0,170.0,28.0,33.0,36.0,33.0,30.0,19.0,9.0,10.0,109.0,51.04895104895105,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65.0,51.0,75.0,37.0,12.0,7.0,5.0,0.0,0.0,16.0,43.0,47.0,22.0,0
29.7195,2516,15.0,6.0,9.0,0.0,5.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.205244,0.205244,0.0,0.0,4.0,72.0,16.0,16.0,20.0,16.0,7.0,3.0,3.0,7.0,54.0,39.54842219804135,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,57.0,45.0,15.0,0.0,5.0,4.0,0.0,0.0,10.0,20.0,25.0,15.0,0
