distance,duration,n_ha,n_ha_l,n_ha_m,n_ha_h,n_hb,n_hb_l,n_hb_m,n_hb_h,n_hc,n_hc_l,n_hc_m,n_hc_h,n_ignition_on,n_ignition_off,fcw_time,hmw_time,ldw_time,pcw_time,n_pedestrian_dz,light_mode,n_tsr_level,n_tsr_level_0,n_tsr_level_1,n_tsr_level_2,n_tsr_level_3,n_tsr_level_4,n_tsr_level_5,n_tsr_level_6,n_tsr_level_7,zero_speed_time,n_zero_speed,n_high_beam,n_low_beam,n_wipers,n_signal_right,n_signal_left,n_brakes,speed,n_fcw,n_hmw,n_ldw,n_ldw_left,n_ldw_right,n_pcw,n_fatigue_0,n_fatigue_1,n_fatigue_2,n_fatigue_3,n_headway__1,n_headway_0,n_headway_1,n_headway_2,n_headway_3,n_overtaking_0,n_overtaking_1,n_overtaking_2,n_overtaking_3,n_speeding_0,n_speeding_1,n_speeding_2,n_speeding_3
1.0,404.15797727015536,0.0,0.0,0.0,0.0,24.24947863620932,0.0,24.24947863620932,0.0,8.083159545403106,0.0,8.083159545403106,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.083159545403106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.66985951468706,8.083159545403106,0.0,0.0,0.0,0.0,0.0,24.24947863620932,73.07176229044408,0.0,0.0,0.0,0.0,0.0,0.0,8.083159545403106,0.0,0.0,0.0,8.083159545403106,0.0,0.0,0.0,0.0,8.083159545403106,0.0,0.0,0.0,8.083159545403106,0.0,0.0,0.0
1.0,477.7912393563469,0.0,0.0,0.0,0.0,34.127945668310495,0.0,34.127945668310495,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.127945668310495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.436359913315,0.0,0.0,0.0,0.0,0.0,0.0,34.127945668310495,0.0,0.0,0.0,34.127945668310495,0.0,0.0,0.0,0.0,34.127945668310495,0.0,0.0,0.0,34.127945668310495,0.0,0.0,0.0
1.0,105.51593654489885,0.0,0.0,0.0,0.0,6.064134284189588,0.0,6.064134284189588,0.0,6.064134284189588,0.0,6.064134284189588,0.0,,,0.0,0.0,0.0,0.0,1.8192402852568768,0.0,0.0,0.6064134284189588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8192402852568768,0.6064134284189588,8.489787997865424,20.374370800551993,0.0,0.0,0.0,0.0,0.0,0.0,0.6064134284189588,0.0,0.0,0.0,0.6064134284189588,0.6064134284189588,0.0,0.0,0.0,0.6064134284189588,0.0,0.0,0.0,0.6064134284189588,0.0,0.0,0.0
1.0,75.22419608025987,0.2072291903037462,0.0,0.2072291903037462,0.0,0.5180729757593655,0.05180729757593655,0.46626567818342896,0.0,0.3108437854556193,0.0,0.3108437854556193,0.0,,,0.0,0.37684566087979154,0.08367085787704057,0.0,0.25903648787968275,0.0,3.8337400206193046,0.4144583806074924,0.7253021660631117,0.7771094636390482,0.5180729757593655,0.5180729757593655,0.46626567818342896,0.46626567818342896,0.36265108303155585,71.90108603637908,0.6216875709112386,0.0,0.0,0.0,0.4144583806074924,0.569880273335302,0.0,2.5968125666791595,0.0,0.2072291903037462,0.1036145951518731,0.05180729757593655,0.05180729757593655,0.0,0.05180729757593655,0.0,0.0,0.0,2.072291903037462,1.8650627127337158,1.2433751418224772,0.569880273335302,0.2072291903037462,0.05180729757593655,0.0,0.0,0.0,0.3108437854556193,0.5180729757593655,0.6216875709112386,0.46626567818342896
1.0,13303.72953877408,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.89006445117622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.89006445117622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.89006445117622,0.0,0.0,0.0,89.89006445117622,0.0,0.0,0.0,0.0,89.89006445117622,0.0,0.0,0.0,89.89006445117622,0.0,0.0,0.0
1.0,136559.16425791473,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1422.4912943532784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5689.965177413113,0.0,0.0,0.0,5689.965177413113,0.0,0.0,0.0,0.0,5689.965177413113,0.0,0.0,0.0,5689.965177413113,0.0,0.0,0.0
1.0,373.3545910001362,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.090664621625304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.18132924325061,76.74215988551876,0.0,0.0,0.0,0.0,0.0,0.0,10.090664621625304,0.0,0.0,0.0,10.090664621625304,0.0,0.0,0.0,0.0,10.090664621625304,0.0,0.0,0.0,10.090664621625304,0.0,0.0,0.0
1.0,73.80339384567297,0.41127552992852034,0.041127552992852034,0.3701479769356683,0.0,0.4935306359142244,0.06169132948927805,0.43183930642494633,0.0,0.28789287094996424,0.020563776496426017,0.2673290944535382,0.0,,,0.0,0.01721784442269254,0.002145645003413587,0.0,0.020563776496426017,0.0,1.3572092487641172,0.5346581889070764,0.6169132948927805,0.30845664744639023,0.20563776496426017,0.16451021197140814,0.0,0.0,0.06169132948927805,71.17114990581791,0.6786046243820586,0.0,0.0,0.0,0.2673290944535382,0.20563776496426017,1.7067934492033594,0.9950786613997984,0.0,0.020563776496426017,0.020563776496426017,0.0,0.020563776496426017,0.0,0.020563776496426017,0.0,0.0,0.0,1.316081695771265,1.5834107902248034,1.8301761081819155,0.8225510598570407,0.020563776496426017,0.041127552992852034,0.020563776496426017,0.0,0.0,0.1233826589785561,0.16451021197140814,0.3907117534320943,0.3290204239428163
1.0,50.28215887715236,0.07234843003906816,0.0,0.07234843003906816,0.0,0.8922973038151738,0.0482322866927121,0.8440650171224617,0.0,0.2411614334635605,0.02411614334635605,0.21704529011720444,0.0,,,0.0,0.3008334539140501,0.0,0.0,0.0482322866927121,0.0,1.977523754401196,0.31350986350262866,0.5546712969661891,0.5787874403125453,0.3376260068489847,0.21704529011720444,0.16881300342449235,0.0964645733854242,0.02411614334635605,9.756633651666426,0.2893937201562726,0.0,0.0,0.0,0.40997443688805285,0.36174215019534073,0.6993681570443254,1.503374590616483,0.0,0.07234843003906816,0.0,0.0,0.0,0.0,0.02411614334635605,0.0,0.0,0.0,1.1334587372787344,1.1816910239714464,1.2058071673178026,0.6029035836589013,0.07234843003906816,0.02411614334635605,0.0,0.0,0.0,0.12058071673178025,0.6029035836589013,0.6270197270052573,0.26527757680991654
1.0,124.13040797945371,,,,,,,,,,,,,,,0.0,0.0,0.1724848441787227,0.0,0.41794750161432226,0.0,2.298711258878772,0.8358950032286445,1.0448687540358057,0.8358950032286445,0.41794750161432226,0.0,0.0,0.0,0.0,20.718450501432518,0.41794750161432226,0.0,0.0,0.0,12.956372550043989,2.0897375080716114,5.224343770179028,6.804796342221732,0.0,0.0,0.20897375080716113,0.0,0.20897375080716113,0.0,0.20897375080716113,0.0,0.0,0.0,4.179475016143223,4.597422517757544,2.298711258878772,1.0448687540358057,0.0,0.20897375080716113,0.0,0.0,0.0,0.6269212524214833,1.0448687540358057,0.6269212524214833,0.0
