trip_start,trip_end,distance,duration,n_ha,n_ha_l,n_ha_m,n_ha_h,n_hb,n_hb_l,n_hb_m,n_hb_h,n_hc,n_hc_l,n_hc_m,n_hc_h,n_ignition_on,n_ignition_off,fcw_time,hmw_time,ldw_time,pcw_time,n_pedestrian_dz,light_mode,n_tsr_level,n_tsr_level_0,n_tsr_level_1,n_tsr_level_2,n_tsr_level_3,n_tsr_level_4,n_tsr_level_5,n_tsr_level_6,n_tsr_level_7,zero_speed_time,n_zero_speed,n_high_beam,n_low_beam,n_wipers,n_signal_right,n_signal_left,n_brakes,speed,over_speed_limit,n_fcw,n_hmw,n_ldw,n_ldw_left,n_ldw_right,n_pcw,n_fatigue_0,n_fatigue_1,n_fatigue_2,n_fatigue_3,n_headway__1,n_headway_0,n_headway_1,n_headway_2,n_headway_3,n_overtaking_0,n_overtaking_1,n_overtaking_2,n_overtaking_3,n_speeding_0,n_speeding_1,n_speeding_2,n_speeding_3
2021-04-21T15:19:03+00:00,2021-04-21T15:53:48+00:00,41.466,2085,3.0,0.0,3.0,0.0,37.0,2.0,35.0,0.0,10.0,1.0,9.0,0.0,,,0.0,12.47436,0.0,0.0,2.0,day,82.0,13.0,23.0,24.0,14.0,9.0,7.0,4.0,1.0,404.568571,12.0,0.0,0.0,0.0,17.0,15.0,29.0,62.33893077450308,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,49.0,50.0,25.0,3.0,1.0,0.0,0.0,0.0,5.0,25.0,26.0,11.0
2021-04-21T15:28:00+00:00,2021-04-21T15:37:54+00:00,4.78529,594,,,,,,,,,,,,,,,0.0,0.0,0.82539,0.0,2.0,day,11.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,99.143794,2.0,0.0,0.0,0.0,62.0,10.0,25.0,32.56292388847023,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,22.0,11.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0
2021-04-21T15:43:49+00:00,2021-04-21T15:53:37+00:00,5.1315,588,,,,,,,,,,,,,,,0.0,0.0,0.103227,0.0,2.0,day,16.0,5.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,555.953831,7.0,0.0,0.0,0.0,51.0,44.0,23.0,30.361658735554045,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,17.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0,7.0,3.0
2021-04-21T15:53:53+00:00,2021-04-21T16:02:15+00:00,4.03431,502,,,,,,,,,,,,,,,0.0,0.0,0.098341,0.0,1.0,day,14.0,6.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,453.291446,4.0,0.0,0.0,1.0,57.0,26.0,17.0,31.73064687168611,,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,10.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,4.0,6.0,6.0,4.0
2021-04-21T15:54:38+00:00,2021-04-21T16:36:24+00:00,31.3533,2506,6.0,0.0,6.0,0.0,66.0,1.0,65.0,0.0,33.0,3.0,30.0,0.0,,,0.0,0.195636,1.096106,0.0,2.0,day,61.0,8.0,11.0,13.0,7.0,7.0,12.0,8.0,3.0,619.646524,20.0,2.0,0.0,0.0,10.0,7.0,70.0,44.266906474820146,,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,29.0,19.0,11.0,1.0,3.0,2.0,0.0,0.0,5.0,8.0,9.0,5.0
2021-04-21T17:03:26+00:00,2021-04-21T18:05:07+00:00,61.7005,3701,42.0,1.0,41.0,0.0,40.0,0.0,40.0,0.0,79.0,6.0,73.0,0.0,,,0.515092,3.227478,0.854433,0.0,11.0,day,234.0,29.0,56.0,63.0,44.0,30.0,24.0,10.0,7.0,358.240118,16.0,19.0,0.0,0.0,25.0,24.0,92.0,47.72418548526116,,1.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,55.0,73.0,32.0,4.0,4.0,3.0,0.0,0.0,11.0,47.0,57.0,26.0
2021-04-21T17:19:17+00:00,2021-04-21T17:26:31+00:00,6.65232,434,5.0,0.0,5.0,0.0,6.0,1.0,5.0,0.0,14.0,1.0,13.0,0.0,,,0.0,0.097898,0.102621,0.0,0.0,day,14.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,14.0,48.34623430962343,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,11.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0
2021-04-21T19:13:07+00:00,2021-04-21T20:07:30+00:00,58.7555,3263,21.0,0.0,21.0,0.0,23.0,0.0,23.0,0.0,59.0,2.0,57.0,0.0,,,0.0,0.0,0.187669,0.0,0.0,night,172.0,42.0,59.0,42.0,26.0,19.0,11.0,7.0,8.0,3238.598449,8.0,0.0,0.0,0.0,24.0,19.0,59.0,52.09237645890241,,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,15.0,31.0,18.0,5.0,5.0,4.0,0.0,0.0,12.0,28.0,33.0,20.0
2021-04-21T19:37:22+00:00,2021-04-21T19:45:02+00:00,4.0214,460,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,night,8.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,79.593433,1.0,0.0,0.0,0.0,15.0,130.0,10.0,24.54272517321016,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0
2021-04-21T20:09:49+00:00,2021-04-21T20:46:00+00:00,42.5147,2171,28.0,2.0,26.0,0.0,46.0,5.0,41.0,0.0,48.0,18.0,30.0,0.0,,,0.383533,3.650438,2.762141,0.0,0.0,night,142.0,26.0,48.0,42.0,21.0,10.0,8.0,7.0,6.0,1279.315574,7.0,0.0,0.0,0.0,18.0,11.0,0.0,62.28408782867986,,1.0,6.0,7.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,26.0,17.0,27.0,20.0,7.0,3.0,2.0,0.0,0.0,12.0,23.0,26.0,20.0
